label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
communeName,TXP,"The name of an agricultural cooperative or farmers' group, which is an organized entity formed by a group of farmers who come together for collective action, mutual benefit, and shared goals within the agricultural sector.",FarmerCollective,"Text, ValueDescriptor",,,0,0,
personnelInfo,SP,Personnel information of an individual or business corresponding to this observation.,"Farmer,
FarmerCollective",PersonnelDesc,,,1,0,
contactPointInfo,SP,Contact point information of a business/service corresponding to this observation.,"Farmer, FarmerCollective",ContactPointDesc,,,1,0,
foundingDate,TP,The date when the association/business/market was established.,FarmerCollective,"Text, ValueDescriptor",,,0,0,
certificateInfo,SP,"Date of issual, expiry/validity, renewal of the document/certificate corresponding to this observation.",FarmerCollective,CertificateDesc,,,0,0,
identityInfo,SP,Personal identification informations issued by the government.,"PersonnelDesc, FarmerCollective",IdentityDesc,,,1,0,
areaServed,TXP,"The list of geographic areas (states, districts) served by the entity.
","ModelDesc, FarmerCollective","Text, Text-list ValueDescriptor",,,1,0,
cropSpeciesInfo,SP,Information of crops corresponding to this observation.,"CropInsurance,
Farmer, FarmerCollective",CropCondition,,,1,0,
comments,TXP,User comments corresponding to this observation.,"Version, FarmerCollective","Text, Text-list, ValueDescriptor",,,1,0,
legalStatus,TXP,The legal status of the entity corresponding to this observation.,FarmerCollective,"Text, ValueDescriptor",,,0,0,
farmersCount,QP,The total number of farmers corresponding to this observation.,FarmerCollective,"Number, ValueDescriptor",,,0,0,
serviceName,TXP,Name of the service offered by an organization or an entity corresponding to this observation.,FarmerCollective,"Text, ValueDescriptor",,,0,0,
serviceCode,TXP,The unique code assigned to a service corresponding to this observation.,FarmerCollective,"Text, ValueDescriptor",,,0,0,
serviceDescription,TXP,The description of the service corresponding to this observation.,FarmerCollective,"Text, ValueDescriptor",,,0,0,
orgBranches,TXP,The branches or sub units of an organisation at different geographical locations.,FarmerCollective,"Text, Text-list, ValueDescriptor",,,0,0,
totalCount,QP,Total number of entities corresponding to this observation. ,FarmerCollective,"Number, 
ValueDescriptor",,,0,0,
feedback,TXP,The opinions or evaluations of an individual or group about an entity or service corresponding to this observation,FarmerCollective,"Text, ValueDescriptor",,,0,0,
serviceName,TXP,Name of the service offered by an organization or an entity corresponding to this observation.,FarmerCollective,"Text, ValueDescriptor",,,0,0,
serviceCode,TXP,The unique code assigned to a service corresponding to this observation.,FarmerCollective,"Text, ValueDescriptor",,,0,0,
serviceDescription,TXP,The description of the service corresponding to this observation.,FarmerCollective,"Text, ValueDescriptor",,,0,0,
