label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
diseaseName,TXP,The name of the disease corresponding to this observation.,CropDiseaseDesc,"Text, ValueDescriptor",,,0,0,
diseaseCode,TXP,The unique code of the disease corresponding to this observation.,CropDiseaseDesc,"Text, ValueDescriptor",,,0,0,
infectionStage,TXP,"The current stage of the infection caused by the disease or pest corresponding to this observation. For eg., initial infestation, colonization, feeding and damage, incubation, reproduction etc.",CropDiseaseDesc,"Text, ValueDescriptor",,,0,0,
pestName,TXP,The name of the organism/pest which has caused the crop disease.,CropDiseaseDesc,"Text, ValueDescriptor",,,0,0,
pestCode,TXP,The unique code identifying the organism which has affected the crop. ,CropDiseaseDesc,"Text, ValueDescriptor",,,0,0,
preventiveMeasures,TXP,"The measures to eliminate or reduce the risk of a problem, hazard, or negative event before it occurs. ",CropDiseaseDesc,"Text,
Text-list,
ValueDescriptor",,,0,0,
controlMeasures,TXP,"The measures that need to be taken in order to mitigate or control the adverse effects of a problem, hazard, or any unfavourable incidents.",CropDiseaseDesc,"Text,
Text-list,
ValueDescriptor",,,0,0,
diseaseSymptoms,TXP,Respresents the symptoms for the crop disease.,CropDiseaseDesc,"Text, ValueDescriptor",,,0,0,
partsAffected,TXP,The parts of the crop affected by the crop disease or pest.,CropDiseaseDesc,"Text, ValueDescriptor",,,0,0,
observationDateTime,TXP,Last reported date of observation,CropDiseaseDesc,"DateTime, ValueDescriptor",,,1,0,
mediaURL,TXP,Link(s) to any image(s) or media of the issue or place corresponding to this observation,"LandParcel,
CropDiseaseDesc","Text,
Text-list,
ValueDescriptor",,,1,1,
diseaseImpact,TXP,"The effects and consequences of crop diseases(caused by pathogens such as bacteria, viruses, fungi, and parasites) on farmers, communities, ecosystems and public health.",CropDiseaseDesc,"Text, ValueDescriptor",,,0,0,
pestImpact,TXP,The effects and consequences of pests over the crops and croplands.,CropDiseaseDesc,"Text, ValueDescriptor",,,0,0,
